num_client,store_id,first_transaction_date,last_transaction_date,tenure_months,nb_transactions,total_spend,arpu_monthly,current_offer,type_abonnement,type_client,nb_upgrades,engagement_months,churn_score,churn_risk
000116f21b10,M10,2024-10-01,2026-03-01,16.95,144,1032.72,60.92,,,EXISTANT,0,0,0.3246,low
00042eaf5b44,I09,2024-10-01,2026-03-01,16.95,36,87.72,5.17,,,EXISTANT,0,0,0.6332,high
0005f12c2590,I94,2024-10-01,2026-03-01,16.95,54,200.0,11.8,,,EXISTANT,0,0,0.5449,medium
000a838172ce,I10,2024-10-01,2026-03-01,16.95,90,447.37,26.39,,,EXISTANT,0,0,0.4197,low
000b68d30745,I61,2024-10-01,2026-03-01,16.95,18,259.56,15.31,,,EXISTANT,0,0,0.6519,high
000d5d26a06c,I63,2024-10-01,2026-03-01,16.95,144,465.51,27.46,,,EXISTANT,0,0,0.367,low
000fde736990,I87,2024-10-01,2026-03-01,16.95,90,490.0,28.91,,,EXISTANT,0,0,0.4171,low
001097dbe216,I45,2024-10-01,2026-03-01,16.95,54,1395.0,82.29,,,EXISTANT,0,0,0.4493,medium
0010e1efdbcf,I50,2024-10-01,2026-03-01,16.95,72,1125.0,66.37,,,EXISTANT,0,0,0.4095,low
001231797b23,M10,2024-10-01,2026-03-01,16.95,54,92.0,5.43,,,EXISTANT,0,0,0.5699,high
00147290a2e9,I93,2024-10-01,2026-03-01,16.95,36,180.0,10.62,,,EXISTANT,0,0,0.6103,high
001527b0dffb,I83,2024-10-01,2026-03-01,16.95,54,756.0,44.6,,,EXISTANT,0,0,0.4836,medium
0018413157fd,S09,2024-10-01,2026-03-01,16.95,54,1947.0,114.86,,,EXISTANT,0,0,0.4353,low
001927d11e2d,M10,2024-10-01,2026-03-01,16.95,72,585.0,34.51,,,EXISTANT,0,0,0.4462,medium
0023e7bfc630,I51,2024-10-01,2026-03-01,16.95,108,178.11,10.51,,,EXISTANT,0,0,0.4344,low
00260ee7fd70,M10,2024-10-01,2026-03-01,16.95,126,1132.0,66.78,,,EXISTANT,0,0,0.3305,low
00272c4a6edf,I82,2024-10-01,2026-03-01,16.95,72,390.0,23.01,,,EXISTANT,0,0,0.4629,medium
002b4c5433dd,M14,2024-10-01,2026-03-01,16.95,108,550.0,32.45,,,EXISTANT,0,0,0.3869,low
002bc4ca2e37,S19,2024-10-01,2026-03-01,16.95,108,168.11,9.92,,,EXISTANT,0,0,0.4361,low
002e14a6a65a,S36,2024-10-01,2026-03-01,16.95,180,3055.5,180.25,,,EXISTANT,0,0,0.2719,low
00318d5a8e03,I25,2024-10-01,2026-03-01,16.95,18,486.0,28.67,,,EXISTANT,0,0,0.6241,high
00338245a7fe,S46,2024-10-01,2026-03-01,16.95,126,3151.49,185.91,,,EXISTANT,0,0,0.2927,low
00363126479d,I88,2024-10-01,2026-03-01,16.95,36,0.0,0.0,,,EXISTANT,0,0,0.6673,high
0036a9947ec9,M10,2024-10-01,2026-03-01,16.95,54,140.35,8.28,,,EXISTANT,0,0,0.5558,medium
0036fa250d69,I86,2024-10-01,2026-03-01,16.95,54,127.19,7.5,,,EXISTANT,0,0,0.5588,high
0038d6b8e7b5,I18,2024-10-01,2026-03-01,16.95,36,20.01,1.18,,,EXISTANT,0,0,0.6597,high
0039d72b8962,I01,2024-10-01,2026-03-01,16.95,72,380.0,22.42,,,EXISTANT,0,0,0.4637,medium
003db2417f36,S46,2024-10-01,2026-03-01,16.95,72,2808.0,165.65,,,EXISTANT,0,0,0.3738,low
003e0945f643,I87,2024-10-01,2026-03-01,16.95,54,1705.0,100.58,,,EXISTANT,0,0,0.4405,low
004032e819d3,I40,2024-10-01,2026-03-01,16.95,126,751.5,44.33,,,EXISTANT,0,0,0.3529,low
004a1f6d8f1a,I11,2024-10-01,2026-03-01,16.95,54,50.87,3.0,,,EXISTANT,0,0,0.5852,high
005483270144,I09,2024-10-01,2026-03-01,16.95,36,600.0,35.4,,,EXISTANT,0,0,0.5579,medium
005974ac8b71,I16,2024-10-01,2026-03-01,16.95,72,2412.24,142.3,,,EXISTANT,0,0,0.3769,low
005ad08189ef,S31,2024-10-01,2026-03-01,16.95,288,7990.0,471.35,,,EXISTANT,0,0,0.2557,low
005bff3884f3,S24,2024-10-01,2026-03-01,16.95,162,3889.14,229.43,,,EXISTANT,0,0,0.2723,low
0062036da504,S05,2024-10-01,2026-03-01,16.95,36,950.3,56.06,,,EXISTANT,0,0,0.5322,medium
00678183a0ab,M10,2024-10-01,2026-03-01,16.95,144,313.0,18.46,,,EXISTANT,0,0,0.3829,low
0079bc64a68c,I63,2024-10-01,2026-03-01,16.95,180,304.69,17.97,,,EXISTANT,0,0,0.3737,low
0081fdee728a,S07,2024-10-01,2026-03-01,16.95,54,60.0,3.54,,,EXISTANT,0,0,0.5812,high
0082210dbd78,I38,2024-10-01,2026-03-01,16.95,36,630.0,37.17,,,EXISTANT,0,0,0.5543,medium
0088a0ce8424,S05,2024-10-01,2026-03-01,16.95,36,1350.0,79.64,,,EXISTANT,0,0,0.512,medium
008cba98ce4d,M14,2024-10-01,2026-03-01,16.95,72,420.0,24.78,,,EXISTANT,0,0,0.4598,medium
008e6c7a3ef6,I20,2024-10-01,2026-03-01,16.95,72,1200.0,70.79,,,EXISTANT,0,0,0.4052,low
008edff4e79a,I38,2024-10-01,2026-03-01,16.95,36,31.57,1.86,,,EXISTANT,0,0,0.6558,high
0090f14e8d79,M10,2024-10-01,2026-03-01,16.95,54,64.34,3.8,,,EXISTANT,0,0,0.5795,high
0095867d40b4,M10,2024-10-01,2026-03-01,16.95,198,1612.87,95.15,,,EXISTANT,0,0,0.2873,low
0099e65e2b95,I57,2024-10-01,2026-03-01,16.95,36,575.0,33.92,,,EXISTANT,0,0,0.5606,high
009c2c3fd7dd,I47,2024-10-01,2026-03-01,16.95,36,630.0,37.17,,,EXISTANT,0,0,0.5543,medium
009d8f6a60fe,I33,2024-10-01,2026-03-01,16.95,18,396.0,23.36,,,EXISTANT,0,0,0.6311,high
00a08d6870ec,S53,2024-10-01,2026-03-01,16.95,36,40.0,2.36,,,EXISTANT,0,0,0.6523,high
00a2e3d256fc,I91,2024-10-01,2026-03-01,16.95,72,3685.5,217.42,,,EXISTANT,0,0,0.3692,low
00a604c950aa,I03,2024-10-01,2026-03-01,16.95,72,1200.0,70.79,,,EXISTANT,0,0,0.4052,low
00a6948b7522,I93,2024-10-01,2026-03-01,16.95,198,1342.12,79.17,,,EXISTANT,0,0,0.2957,low
00ae11e4fae4,I39,2024-10-01,2026-03-01,16.95,72,1368.0,80.7,,,EXISTANT,0,0,0.3978,low
00af3a49ae23,I38,2024-10-01,2026-03-01,16.95,54,720.0,42.47,,,EXISTANT,0,0,0.4856,medium
00b2887152fa,S22,2024-10-01,2026-03-01,16.95,54,1425.2,84.08,,,EXISTANT,0,0,0.4482,medium
00baf688bca7,I46,2024-10-01,2026-03-01,16.95,18,300.0,17.7,,,EXISTANT,0,0,0.644,high
00c96d7a4c25,I71,2024-10-01,2026-03-01,16.95,18,200.0,11.8,,,EXISTANT,0,0,0.6613,high
00ce35d682e9,I06,2024-10-01,2026-03-01,16.95,108,141.86,8.37,,,EXISTANT,0,0,0.4402,low
00ceafe8a88e,S38,2024-10-01,2026-03-01,16.95,54,871.68,51.42,,,EXISTANT,0,0,0.4763,medium
00d14c012aa6,I45,2024-10-01,2026-03-01,16.95,18,658.9,38.87,,,EXISTANT,0,0,0.607,high
00d1cc891267,I06,2024-10-01,2026-03-01,16.95,90,1200.0,70.79,,,EXISTANT,0,0,0.3672,low
00d39419da1f,M17,2024-10-01,2026-03-01,16.95,54,14490.0,854.8,,,EXISTANT,0,0,0.4131,low
00d86f81bdd9,I08,2024-10-01,2026-03-01,16.95,36,869.12,51.27,,,EXISTANT,0,0,0.5388,medium
00dc2fcbf615,M10,2024-10-01,2026-03-01,16.95,54,320.0,18.88,,,EXISTANT,0,0,0.5238,medium
00e6674701da,M12,2024-10-01,2026-03-01,16.95,90,137.5,8.11,,,EXISTANT,0,0,0.4662,medium
00eeb731287a,I88,2024-10-01,2026-03-01,16.95,54,900.0,53.09,,,EXISTANT,0,0,0.4745,medium
00f04af8a1c9,I90,2024-10-01,2026-03-01,16.95,72,1476.0,87.07,,,EXISTANT,0,0,0.3942,low
00f3fd99757f,I09,2024-10-01,2026-03-01,16.95,126,223.69,13.2,,,EXISTANT,0,0,0.4093,low
00f50271e9b5,I55,2024-10-01,2026-03-01,16.95,126,122.64,7.23,,,EXISTANT,0,0,0.4288,low
00f763855d5e,M23,2024-10-01,2026-03-01,16.95,36,600.0,35.4,,,EXISTANT,0,0,0.5579,medium
00fdaf702b59,I28,2024-10-01,2026-03-01,16.95,108,2196.0,129.55,,,EXISTANT,0,0,0.3165,low
00fe59786be6,S07,2024-10-01,2026-03-01,16.95,18,110.0,6.49,,,EXISTANT,0,0,0.679,high
00fe9542c30e,I78,2024-10-01,2026-03-01,16.95,72,38.96,2.3,,,EXISTANT,0,0,0.5396,medium
0100cc8bbfee,I01,2024-10-01,2026-03-01,16.95,126,2982.0,175.91,,,EXISTANT,0,0,0.2937,low
0104e4740ed4,S38,2024-10-01,2026-03-01,16.95,54,620.0,36.58,,,EXISTANT,0,0,0.4945,medium
0108c4452a06,S41,2024-10-01,2026-03-01,16.95,36,110.0,6.49,,,EXISTANT,0,0,0.6239,high
010a2ad39a5e,I68,2024-10-01,2026-03-01,16.95,126,9139.0,539.13,,,EXISTANT,0,0,0.2836,low
0110fdd00673,I39,2024-10-01,2026-03-01,16.95,90,468.6,27.64,,,EXISTANT,0,0,0.4183,low
011c71b9aa0c,I27,2024-10-01,2026-03-01,16.95,18,559.0,32.98,,,EXISTANT,0,0,0.6181,high
011d7e647e58,S35,2024-10-01,2026-03-01,16.95,54,66.0,3.89,,,EXISTANT,0,0,0.5792,high
011e24868fed,I88,2024-10-01,2026-03-01,16.95,72,1249.41,73.71,,,EXISTANT,0,0,0.4027,low
011f481c2d8a,S19,2024-10-01,2026-03-01,16.95,90,54.76,3.23,,,EXISTANT,0,0,0.4933,medium
0120b4aa18f5,I09,2024-10-01,2026-03-01,16.95,36,1800.0,106.19,,,EXISTANT,0,0,0.4996,medium
012334a2ab0a,M17,2024-10-01,2026-03-01,16.95,126,123.7,7.3,,,EXISTANT,0,0,0.4284,low
012586ad9b48,S48,2024-10-01,2026-03-01,16.95,198,2725.0,160.75,,,EXISTANT,0,0,0.2716,low
0129bc239b13,S28,2024-10-01,2026-03-01,16.95,18,0.0,0.0,,,EXISTANT,0,0,0.7224,high
0129d772a109,S01,2024-10-01,2026-03-01,16.95,90,193.44,11.41,,,EXISTANT,0,0,0.4558,medium
012d781957df,I11,2024-10-01,2026-03-01,16.95,54,144.74,8.54,,,EXISTANT,0,0,0.5552,medium
012dc44be6d8,M12,2024-10-01,2026-03-01,16.95,126,25158.0,1484.13,,,EXISTANT,0,0,0.2802,low
012e6e071026,S05,2024-10-01,2026-03-01,16.95,36,600.0,35.4,,,EXISTANT,0,0,0.5579,medium
01353197f50c,I47,2024-10-01,2026-03-01,16.95,90,1575.0,92.91,,,EXISTANT,0,0,0.3533,low
0136202a0f67,I08,2024-10-01,2026-03-01,16.95,90,173.58,10.24,,,EXISTANT,0,0,0.4602,medium
01369af4c5e5,S27,2024-10-01,2026-03-01,16.95,72,3969.0,234.14,,,EXISTANT,0,0,0.368,low
