competitor_id,category,product_type,data_go,price_ttc,commitment_months,price_date,source
TT,FORFAIT_PREPAYE,Forfait 20Go Mensuel,20.0,17.0,0,2026-01-15,WEB
TT,FORFAIT_PREPAYE,Forfait 50Go Mensuel,50.0,30.0,0,2026-01-15,WEB
TT,FORFAIT_PREPAYE,Forfait 100Go Mensuel,100.0,50.0,0,2026-01-15,WEB
TT,FORFAIT_POSTPAYE,Forfait Illimite Starter,25.0,35.0,12,2026-01-15,WEB
TT,FORFAIT_POSTPAYE,Forfait Illimite Standard,60.0,60.0,12,2026-01-15,WEB
TT,FORFAIT_POSTPAYE,Forfait Illimite Premium,150.0,100.0,12,2026-01-15,WEB
TT,BOX_4G,Box 4G 100Go Mensuel,100.0,55.0,0,2026-01-15,WEB
TT,BOX_4G,Box 4G Illimitee,999.0,91.0,0,2026-01-15,WEB
TT,TERMINAL,Samsung Galaxy A16 4+128Go,,599.0,0,2026-01-15,VISITE_BOUTIQUE
TT,TERMINAL,Samsung Galaxy A26 5G 8+128Go,,1099.0,0,2026-01-15,VISITE_BOUTIQUE
ORANGE,FORFAIT_PREPAYE,Pack Data 20Go,20.0,19.0,0,2026-01-15,WEB
ORANGE,FORFAIT_PREPAYE,Pack Data 50Go,50.0,35.0,0,2026-01-15,WEB
ORANGE,FORFAIT_PREPAYE,Pack Data 100Go,100.0,60.0,0,2026-01-15,WEB
ORANGE,FORFAIT_POSTPAYE,Orange Go 30Go,30.0,40.0,12,2026-01-15,WEB
ORANGE,FORFAIT_POSTPAYE,Orange Go 60Go,60.0,70.0,12,2026-01-15,WEB
ORANGE,FORFAIT_POSTPAYE,Orange Go 150Go,150.0,110.0,12,2026-01-15,WEB
ORANGE,BOX_4G,Orange Box 100Go,100.0,60.0,0,2026-01-15,WEB
ORANGE,BOX_4G,Orange Box Illimitee,999.0,100.0,0,2026-01-15,WEB
ORANGE,TERMINAL,Samsung Galaxy A16 4+128Go,,639.9,0,2026-01-15,VISITE_BOUTIQUE
ORANGE,TERMINAL,iPhone 15 128Go,,1999.0,0,2026-01-15,WEB
