direction,operator_origin,operator_destination,month,volume,client_category,main_reason,wilaya
PORT_IN,TT,OOREDOO,2024-10-01,1245,RESI,PRIX,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2024-10-01,387,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,TT,2024-10-01,543,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2024-10-01,289,RESI,QUALITE_RESEAU,Grand Tunis
PORT_IN,TT,OOREDOO,2024-12-01,1856,RESI,PROMO_FIN_ANNEE,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2024-12-01,512,RESI,PROMO_FIN_ANNEE,Grand Tunis
PORT_OUT,OOREDOO,TT,2024-12-01,478,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2025-03-01,2145,RESI,RAMADAN,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-03-01,687,RESI,RAMADAN,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-03-01,389,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2025-04-01,3456,RESI,EID_FITR,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-04-01,1123,RESI,EID_FITR,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-04-01,234,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2025-07-01,1890,RESI,LANCEMENT_5G,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2025-07-01,345,RESI,PROMO_ORANGE,Grand Tunis
PORT_IN,TT,OOREDOO,2025-09-01,2134,RESI,RENTREE,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-09-01,312,RESI,PROMO_TT_RENTREE,Grand Tunis
PORT_IN,TT,OOREDOO,2025-12-01,2345,RESI,SOLDES,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-12-01,756,RESI,SOLDES,Grand Tunis
PORT_IN,TT,OOREDOO,2026-03-01,3123,RESI,RAMADAN_EID,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2026-03-01,987,RESI,RAMADAN_EID,Grand Tunis
PORT_OUT,OOREDOO,TT,2026-03-01,278,RESI,PRIX,Grand Tunis
