date,store_id,objectif_ca,objectif_transactions,objectif_panier_moyen
2023-01-01,I08,11627.57,21,553.69
2023-01-02,I08,13081.02,24,545.04
2023-01-03,I08,13807.74,25,552.31
2023-01-04,I08,14534.46,27,538.31
2023-01-05,I08,15261.19,28,545.04
2023-01-06,I08,15987.91,29,551.31
2023-01-07,I08,18894.8,35,539.85
2023-01-08,I08,11627.57,21,553.69
2023-01-09,I08,13081.02,24,545.04
2023-01-10,I08,13807.74,25,552.31
2023-01-11,I08,14534.46,27,538.31
2023-01-12,I08,15261.19,28,545.04
2023-01-13,I08,15987.91,29,551.31
2023-01-14,I08,18894.8,35,539.85
2023-01-15,I08,11627.57,21,553.69
2023-01-16,I08,13081.02,24,545.04
2023-01-17,I08,13807.74,25,552.31
2023-01-18,I08,14534.46,27,538.31
2023-01-19,I08,15261.19,28,545.04
2023-01-20,I08,15987.91,29,551.31
2023-01-21,I08,18894.8,35,539.85
2023-01-22,I08,11627.57,21,553.69
2023-01-23,I08,13081.02,24,545.04
2023-01-24,I08,13807.74,25,552.31
2023-01-25,I08,14534.46,27,538.31
2023-01-26,I08,15261.19,28,545.04
2023-01-27,I08,15987.91,29,551.31
2023-01-28,I08,18894.8,35,539.85
2023-01-29,I08,11627.57,21,553.69
2023-01-30,I08,13081.02,24,545.04
2023-01-31,I08,13807.74,25,552.31
2023-02-01,I08,14287.95,27,529.18
2023-02-02,I08,15002.35,28,535.8
2023-02-03,I08,15716.75,29,541.96
2023-02-04,I08,18574.34,35,530.7
2023-02-05,I08,11430.36,21,544.3
2023-02-06,I08,12859.16,24,535.8
2023-02-07,I08,13573.56,25,542.94
2023-02-08,I08,14287.95,27,529.18
2023-02-09,I08,15002.35,28,535.8
2023-02-10,I08,15716.75,29,541.96
2023-02-11,I08,18574.34,35,530.7
2023-02-12,I08,11430.36,21,544.3
2023-02-13,I08,12859.16,24,535.8
2023-02-14,I08,13573.56,25,542.94
2023-02-15,I08,14287.95,27,529.18
2023-02-16,I08,15002.35,28,535.8
2023-02-17,I08,15716.75,29,541.96
2023-02-18,I08,18574.34,35,530.7
2023-02-19,I08,11430.36,21,544.3
2023-02-20,I08,12859.16,24,535.8
2023-02-21,I08,13573.56,25,542.94
2023-02-22,I08,14287.95,27,529.18
2023-02-23,I08,15002.35,28,535.8
2023-02-24,I08,15716.75,29,541.96
2023-02-25,I08,18574.34,35,530.7
2023-02-26,I08,11430.36,21,544.3
2023-02-27,I08,12859.16,24,535.8
2023-02-28,I08,13573.56,25,542.94
2023-03-01,I08,14905.88,27,552.07
2023-03-02,I08,15651.18,28,558.97
2023-03-03,I08,16396.47,29,565.4
2023-03-04,I08,19377.65,35,553.65
2023-03-05,I08,11924.71,21,567.84
2023-03-06,I08,13415.3,24,558.97
2023-03-07,I08,14160.59,25,566.42
2023-03-08,I08,14905.88,27,552.07
2023-03-09,I08,15651.18,28,558.97
2023-03-10,I08,16396.47,29,565.4
2023-03-11,I08,19377.65,35,553.65
2023-03-12,I08,11924.71,21,567.84
2023-03-13,I08,13415.3,24,558.97
2023-03-14,I08,14160.59,25,566.42
2023-03-15,I08,14905.88,27,552.07
2023-03-16,I08,15651.18,28,558.97
2023-03-17,I08,16396.47,29,565.4
2023-03-18,I08,19377.65,35,553.65
2023-03-19,I08,11924.71,21,567.84
2023-03-20,I08,13415.3,24,558.97
2023-03-21,I08,14160.59,25,566.42
2023-03-22,I08,14905.88,27,552.07
2023-03-23,I08,15651.18,28,558.97
2023-03-24,I08,16396.47,29,565.4
2023-03-25,I08,19377.65,35,553.65
2023-03-26,I08,11924.71,21,567.84
2023-03-27,I08,13415.3,24,558.97
2023-03-28,I08,14160.59,25,566.42
2023-03-29,I08,14905.88,27,552.07
2023-03-30,I08,15651.18,28,558.97
2023-03-31,I08,16396.47,29,565.4
2023-04-01,I08,19915.68,35,569.02
2023-04-02,I08,12255.8,21,583.61
2023-04-03,I08,13787.78,24,574.49
2023-04-04,I08,14553.76,26,559.76
2023-04-05,I08,15319.75,27,567.4
2023-04-06,I08,16085.74,28,574.49
2023-04-07,I08,16851.73,30,561.72
2023-04-08,I08,19915.68,35,569.02
2023-04-09,I08,12255.8,21,583.61
2023-04-10,I08,13787.78,24,574.49
2023-04-11,I08,14553.76,26,559.76
2023-04-12,I08,15319.75,27,567.4
2023-04-13,I08,16085.74,28,574.49
2023-04-14,I08,16851.73,30,561.72
2023-04-15,I08,19915.68,35,569.02
2023-04-16,I08,12255.8,21,583.61
2023-04-17,I08,13787.78,24,574.49
2023-04-18,I08,14553.76,26,559.76
2023-04-19,I08,15319.75,27,567.4
2023-04-20,I08,16085.74,28,574.49
2023-04-21,I08,16851.73,30,561.72
2023-04-22,I08,19915.68,35,569.02
2023-04-23,I08,12255.8,21,583.61
2023-04-24,I08,13787.78,24,574.49
2023-04-25,I08,14553.76,26,559.76
2023-04-26,I08,15319.75,27,567.4
2023-04-27,I08,16085.74,28,574.49
2023-04-28,I08,16851.73,30,561.72
2023-04-29,I08,19915.68,35,569.02
2023-04-30,I08,12255.8,21,583.61
2023-05-01,I08,12572.83,24,523.87
2023-05-02,I08,13271.32,25,530.85
2023-05-03,I08,13969.81,27,517.4
2023-05-04,I08,14668.3,28,523.87
2023-05-05,I08,15366.79,29,529.89
2023-05-06,I08,18160.75,35,518.88
2023-05-07,I08,11175.85,21,532.18
2023-05-08,I08,12572.83,24,523.87
2023-05-09,I08,13271.32,25,530.85
2023-05-10,I08,13969.81,27,517.4
2023-05-11,I08,14668.3,28,523.87
2023-05-12,I08,15366.79,29,529.89
2023-05-13,I08,18160.75,35,518.88
2023-05-14,I08,11175.85,21,532.18
2023-05-15,I08,12572.83,24,523.87
2023-05-16,I08,13271.32,25,530.85
2023-05-17,I08,13969.81,27,517.4
2023-05-18,I08,14668.3,28,523.87
2023-05-19,I08,15366.79,29,529.89
2023-05-20,I08,18160.75,35,518.88
2023-05-21,I08,11175.85,21,532.18
2023-05-22,I08,12572.83,24,523.87
2023-05-23,I08,13271.32,25,530.85
2023-05-24,I08,13969.81,27,517.4
2023-05-25,I08,14668.3,28,523.87
2023-05-26,I08,15366.79,29,529.89
2023-05-27,I08,18160.75,35,518.88
2023-05-28,I08,11175.85,21,532.18
2023-05-29,I08,12572.83,24,523.87
2023-05-30,I08,13271.32,25,530.85
2023-05-31,I08,13969.81,27,517.4
2023-06-01,I08,15124.53,28,540.16
2023-06-02,I08,15844.74,29,546.37
2023-06-03,I08,18725.6,34,550.75
2023-06-04,I08,11523.45,21,548.74
2023-06-05,I08,12963.88,24,540.16
2023-06-06,I08,13684.09,25,547.36
2023-06-07,I08,14404.31,27,533.49
2023-06-08,I08,15124.53,28,540.16
2023-06-09,I08,15844.74,29,546.37
2023-06-10,I08,18725.6,34,550.75
2023-06-11,I08,11523.45,21,548.74
2023-06-12,I08,12963.88,24,540.16
2023-06-13,I08,13684.09,25,547.36
2023-06-14,I08,14404.31,27,533.49
2023-06-15,I08,15124.53,28,540.16
2023-06-16,I08,15844.74,29,546.37
2023-06-17,I08,18725.6,34,550.75
2023-06-18,I08,11523.45,21,548.74
2023-06-19,I08,12963.88,24,540.16
2023-06-20,I08,13684.09,25,547.36
2023-06-21,I08,14404.31,27,533.49
2023-06-22,I08,15124.53,28,540.16
2023-06-23,I08,15844.74,29,546.37
2023-06-24,I08,18725.6,34,550.75
2023-06-25,I08,11523.45,21,548.74
2023-06-26,I08,12963.88,24,540.16
2023-06-27,I08,13684.09,25,547.36
2023-06-28,I08,14404.31,27,533.49
2023-06-29,I08,15124.53,28,540.16
2023-06-30,I08,15844.74,29,546.37
2023-07-01,I08,20409.24,35,583.12
2023-07-02,I08,12559.53,22,570.89
2023-07-03,I08,14129.47,24,588.73
2023-07-04,I08,14914.44,26,573.63
2023-07-05,I08,15699.41,27,581.46
2023-07-06,I08,16484.38,28,588.73
2023-07-07,I08,17269.35,30,575.64
2023-07-08,I08,20409.24,35,583.12
2023-07-09,I08,12559.53,22,570.89
2023-07-10,I08,14129.47,24,588.73
2023-07-11,I08,14914.44,26,573.63
2023-07-12,I08,15699.41,27,581.46
2023-07-13,I08,16484.38,28,588.73
2023-07-14,I08,17269.35,30,575.64
2023-07-15,I08,20409.24,35,583.12
2023-07-16,I08,12559.53,22,570.89
2023-07-17,I08,14129.47,24,588.73
2023-07-18,I08,14914.44,26,573.63
2023-07-19,I08,15699.41,27,581.46
2023-07-20,I08,16484.38,28,588.73
2023-07-21,I08,17269.35,30,575.64
2023-07-22,I08,20409.24,35,583.12
2023-07-23,I08,12559.53,22,570.89
2023-07-24,I08,14129.47,24,588.73
2023-07-25,I08,14914.44,26,573.63
2023-07-26,I08,15699.41,27,581.46
2023-07-27,I08,16484.38,28,588.73
2023-07-28,I08,17269.35,30,575.64
2023-07-29,I08,20409.24,35,583.12
2023-07-30,I08,12559.53,22,570.89
2023-07-31,I08,14129.47,24,588.73
2023-08-01,I08,13734.13,25,549.37
2023-08-02,I08,14456.98,27,535.44
2023-08-03,I08,15179.82,28,542.14
2023-08-04,I08,15902.67,29,548.37
2023-08-05,I08,18794.07,35,536.97
2023-08-06,I08,11565.58,21,550.74
2023-08-07,I08,13011.28,24,542.14
2023-08-08,I08,13734.13,25,549.37
2023-08-09,I08,14456.98,27,535.44
2023-08-10,I08,15179.82,28,542.14
2023-08-11,I08,15902.67,29,548.37
2023-08-12,I08,18794.07,35,536.97
2023-08-13,I08,11565.58,21,550.74
2023-08-14,I08,13011.28,24,542.14
2023-08-15,I08,13734.13,25,549.37
2023-08-16,I08,14456.98,27,535.44
2023-08-17,I08,15179.82,28,542.14
2023-08-18,I08,15902.67,29,548.37
2023-08-19,I08,18794.07,35,536.97
2023-08-20,I08,11565.58,21,550.74
2023-08-21,I08,13011.28,24,542.14
2023-08-22,I08,13734.13,25,549.37
2023-08-23,I08,14456.98,27,535.44
2023-08-24,I08,15179.82,28,542.14
2023-08-25,I08,15902.67,29,548.37
2023-08-26,I08,18794.07,35,536.97
2023-08-27,I08,11565.58,21,550.74
2023-08-28,I08,13011.28,24,542.14
2023-08-29,I08,13734.13,25,549.37
2023-08-30,I08,14456.98,27,535.44
2023-08-31,I08,15179.82,28,542.14
2023-09-01,I08,19191.73,30,639.72
2023-09-02,I08,22681.13,36,630.03
2023-09-03,I08,13957.62,22,634.44
2023-09-04,I08,15702.32,25,628.09
2023-09-05,I08,16574.67,26,637.49
2023-09-06,I08,17447.03,27,646.19
2023-09-07,I08,18319.38,29,631.7
2023-09-08,I08,19191.73,30,639.72
2023-09-09,I08,22681.13,36,630.03
2023-09-10,I08,13957.62,22,634.44
2023-09-11,I08,15702.32,25,628.09
2023-09-12,I08,16574.67,26,637.49
2023-09-13,I08,17447.03,27,646.19
2023-09-14,I08,18319.38,29,631.7
2023-09-15,I08,19191.73,30,639.72
2023-09-16,I08,22681.13,36,630.03
2023-09-17,I08,13957.62,22,634.44
2023-09-18,I08,15702.32,25,628.09
2023-09-19,I08,16574.67,26,637.49
2023-09-20,I08,17447.03,27,646.19
2023-09-21,I08,18319.38,29,631.7
2023-09-22,I08,19191.73,30,639.72
2023-09-23,I08,22681.13,36,630.03
2023-09-24,I08,13957.62,22,634.44
2023-09-25,I08,15702.32,25,628.09
2023-09-26,I08,16574.67,26,637.49
2023-09-27,I08,17447.03,27,646.19
2023-09-28,I08,18319.38,29,631.7
2023-09-29,I08,19191.73,30,639.72
2023-09-30,I08,22681.13,36,630.03
2023-10-01,I08,11164.2,21,531.63
2023-10-02,I08,12559.72,24,523.32
2023-10-03,I08,13257.49,25,530.3
2023-10-04,I08,13955.25,26,536.74
2023-10-05,I08,14653.01,28,523.32
2023-10-06,I08,15350.77,29,529.34
2023-10-07,I08,18141.82,34,533.58
2023-10-08,I08,11164.2,21,531.63
2023-10-09,I08,12559.72,24,523.32
2023-10-10,I08,13257.49,25,530.3
2023-10-11,I08,13955.25,26,536.74
2023-10-12,I08,14653.01,28,523.32
2023-10-13,I08,15350.77,29,529.34
2023-10-14,I08,18141.82,34,533.58
2023-10-15,I08,11164.2,21,531.63
2023-10-16,I08,12559.72,24,523.32
2023-10-17,I08,13257.49,25,530.3
2023-10-18,I08,13955.25,26,536.74
2023-10-19,I08,14653.01,28,523.32
2023-10-20,I08,15350.77,29,529.34
2023-10-21,I08,18141.82,34,533.58
2023-10-22,I08,11164.2,21,531.63
2023-10-23,I08,12559.72,24,523.32
2023-10-24,I08,13257.49,25,530.3
2023-10-25,I08,13955.25,26,536.74
2023-10-26,I08,14653.01,28,523.32
2023-10-27,I08,15350.77,29,529.34
2023-10-28,I08,18141.82,34,533.58
2023-10-29,I08,11164.2,21,531.63
2023-10-30,I08,12559.72,24,523.32
2023-10-31,I08,13257.49,25,530.3
2023-11-01,I08,15149.66,27,561.1
2023-11-02,I08,15907.15,28,568.11
2023-11-03,I08,16664.63,30,555.49
2023-11-04,I08,19694.56,35,562.7
2023-11-05,I08,12119.73,21,577.13
2023-11-06,I08,13634.7,24,568.11
2023-11-07,I08,14392.18,26,553.55
2023-11-08,I08,15149.66,27,561.1
2023-11-09,I08,15907.15,28,568.11
2023-11-10,I08,16664.63,30,555.49
2023-11-11,I08,19694.56,35,562.7
2023-11-12,I08,12119.73,21,577.13
2023-11-13,I08,13634.7,24,568.11
2023-11-14,I08,14392.18,26,553.55
2023-11-15,I08,15149.66,27,561.1
2023-11-16,I08,15907.15,28,568.11
2023-11-17,I08,16664.63,30,555.49
2023-11-18,I08,19694.56,35,562.7
2023-11-19,I08,12119.73,21,577.13
2023-11-20,I08,13634.7,24,568.11
2023-11-21,I08,14392.18,26,553.55
2023-11-22,I08,15149.66,27,561.1
2023-11-23,I08,15907.15,28,568.11
2023-11-24,I08,16664.63,30,555.49
2023-11-25,I08,19694.56,35,562.7
2023-11-26,I08,12119.73,21,577.13
2023-11-27,I08,13634.7,24,568.11
2023-11-28,I08,14392.18,26,553.55
2023-11-29,I08,15149.66,27,561.1
2023-11-30,I08,15907.15,28,568.11
2023-12-01,I08,20833.26,30,694.44
2023-12-02,I08,24621.13,36,683.92
2023-12-03,I08,15151.46,22,688.7
2023-12-04,I08,17045.4,25,681.82
2023-12-05,I08,17992.36,26,692.01
2023-12-06,I08,18939.33,27,701.46
2023-12-07,I08,19886.3,29,685.73
2023-12-08,I08,20833.26,30,694.44
2023-12-09,I08,24621.13,36,683.92
2023-12-10,I08,15151.46,22,688.7
2023-12-11,I08,17045.4,25,681.82
2023-12-12,I08,17992.36,26,692.01
2023-12-13,I08,18939.33,27,701.46
2023-12-14,I08,19886.3,29,685.73
2023-12-15,I08,20833.26,30,694.44
2023-12-16,I08,24621.13,36,683.92
2023-12-17,I08,15151.46,22,688.7
2023-12-18,I08,17045.4,25,681.82
2023-12-19,I08,17992.36,26,692.01
2023-12-20,I08,18939.33,27,701.46
2023-12-21,I08,19886.3,29,685.73
2023-12-22,I08,20833.26,30,694.44
2023-12-23,I08,24621.13,36,683.92
2023-12-24,I08,15151.46,22,688.7
2023-12-25,I08,17045.4,25,681.82
2023-12-26,I08,17992.36,26,692.01
2023-12-27,I08,18939.33,27,701.46
2023-12-28,I08,19886.3,29,685.73
2023-12-29,I08,20833.26,30,694.44
2023-12-30,I08,24621.13,36,683.92
2023-12-31,I08,15151.46,22,688.7
2024-01-01,I08,13081.02,24,545.04
2024-01-02,I08,13807.74,25,552.31
2024-01-03,I08,14534.46,27,538.31
2024-01-04,I08,15261.19,28,545.04
2024-01-05,I08,15987.91,29,551.31
2024-01-06,I08,18894.8,35,539.85
2024-01-07,I08,11627.57,21,553.69
2024-01-08,I08,13081.02,24,545.04
2024-01-09,I08,13807.74,25,552.31
2024-01-10,I08,14534.46,27,538.31
2024-01-11,I08,15261.19,28,545.04
2024-01-12,I08,15987.91,29,551.31
2024-01-13,I08,18894.8,35,539.85
2024-01-14,I08,11627.57,21,553.69
2024-01-15,I08,13081.02,24,545.04
2024-01-16,I08,13807.74,25,552.31
2024-01-17,I08,14534.46,27,538.31
2024-01-18,I08,15261.19,28,545.04
2024-01-19,I08,15987.91,29,551.31
2024-01-20,I08,18894.8,35,539.85
2024-01-21,I08,11627.57,21,553.69
2024-01-22,I08,13081.02,24,545.04
2024-01-23,I08,13807.74,25,552.31
2024-01-24,I08,14534.46,27,538.31
2024-01-25,I08,15261.19,28,545.04
2024-01-26,I08,15987.91,29,551.31
2024-01-27,I08,18894.8,35,539.85
2024-01-28,I08,11627.57,21,553.69
2024-01-29,I08,13081.02,24,545.04
2024-01-30,I08,13807.74,25,552.31
2024-01-31,I08,14534.46,27,538.31
2024-02-01,I08,15002.35,28,535.8
2024-02-02,I08,15716.75,29,541.96
2024-02-03,I08,18574.34,35,530.7
2024-02-04,I08,11430.36,21,544.3
2024-02-05,I08,12859.16,24,535.8
2024-02-06,I08,13573.56,25,542.94
2024-02-07,I08,14287.95,27,529.18
2024-02-08,I08,15002.35,28,535.8
2024-02-09,I08,15716.75,29,541.96
2024-02-10,I08,18574.34,35,530.7
2024-02-11,I08,11430.36,21,544.3
2024-02-12,I08,12859.16,24,535.8
2024-02-13,I08,13573.56,25,542.94
2024-02-14,I08,14287.95,27,529.18
2024-02-15,I08,15002.35,28,535.8
2024-02-16,I08,15716.75,29,541.96
2024-02-17,I08,18574.34,35,530.7
2024-02-18,I08,11430.36,21,544.3
2024-02-19,I08,12859.16,24,535.8
2024-02-20,I08,13573.56,25,542.94
2024-02-21,I08,14287.95,27,529.18
2024-02-22,I08,15002.35,28,535.8
2024-02-23,I08,15716.75,29,541.96
2024-02-24,I08,18574.34,35,530.7
2024-02-25,I08,11430.36,21,544.3
2024-02-26,I08,12859.16,24,535.8
2024-02-27,I08,13573.56,25,542.94
2024-02-28,I08,14287.95,27,529.18
2024-02-29,I08,15002.35,28,535.8
2024-03-01,I08,16396.47,29,565.4
2024-03-02,I08,19377.65,35,553.65
2024-03-03,I08,11924.71,21,567.84
2024-03-04,I08,13415.3,24,558.97
2024-03-05,I08,14160.59,25,566.42
2024-03-06,I08,14905.88,27,552.07
2024-03-07,I08,15651.18,28,558.97
2024-03-08,I08,16396.47,29,565.4
2024-03-09,I08,19377.65,35,553.65
2024-03-10,I08,11924.71,21,567.84
2024-03-11,I08,13415.3,24,558.97
2024-03-12,I08,14160.59,25,566.42
2024-03-13,I08,14905.88,27,552.07
2024-03-14,I08,15651.18,28,558.97
2024-03-15,I08,16396.47,29,565.4
2024-03-16,I08,19377.65,35,553.65
2024-03-17,I08,11924.71,21,567.84
2024-03-18,I08,13415.3,24,558.97
2024-03-19,I08,14160.59,25,566.42
2024-03-20,I08,14905.88,27,552.07
2024-03-21,I08,15651.18,28,558.97
2024-03-22,I08,16396.47,29,565.4
2024-03-23,I08,19377.65,35,553.65
2024-03-24,I08,11924.71,21,567.84
2024-03-25,I08,13415.3,24,558.97
2024-03-26,I08,14160.59,25,566.42
2024-03-27,I08,14905.88,27,552.07
2024-03-28,I08,15651.18,28,558.97
2024-03-29,I08,16396.47,29,565.4
2024-03-30,I08,19377.65,35,553.65
2024-03-31,I08,11924.71,21,567.84
2024-04-01,I08,13787.78,24,574.49
2024-04-02,I08,14553.76,26,559.76
