sku,product_name,category,subcategory,type_prod,forfait_type,is_serialized,unit_cost,unit_price,brand,flag_5g,flag_4g,margin_pct,product_line,supplier_id,lead_time_days,lead_time_std,moq,holding_cost_pct,order_cost,lifecycle_stage,avg_daily_velocity,store_count,stock_min_default,stock_max_default
5040320,ALCATEL 320,Accessoire,40,R,,False,192.681,57.983,Alcatel,False,False,45.0,ACCESSOIRE,OOREDOO_CENTRAL,2,1,50,0.2,50.0,growth,0.0,0,10,100
5060200,MOTOROLA 200,Accessoire,60,R,,False,450.798,65.546,Motorola,False,False,45.0,ACCESSOIRE,OOREDOO_CENTRAL,2,1,50,0.2,50.0,growth,0.0,0,10,100
3005000,.,Accessoire,5,R,,False,2.521,4.202,,False,False,45.0,ACCESSOIRE,OOREDOO_CENTRAL,2,1,100,0.2,50.0,growth,0.0,0,10,100
9910006,.,Accessoire,10,R,,False,3.025,5.042,,False,False,45.0,ACCESSOIRE,OOREDOO_CENTRAL,2,1,100,0.2,50.0,growth,0.0,0,10,100
8811044,.,Accessoire,11,R,,False,2.521,4.202,,False,False,45.0,ACCESSOIRE,OOREDOO_CENTRAL,2,1,100,0.2,50.0,growth,0.0,0,10,100
5030230,NOKIA 2300,Accessoire,30,R,,False,280.53,91.597,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,50,0.2,50.0,growth,0.0,0,10,100
9940001,.,Accessoire,40,R,,False,192.681,21.008,,False,False,45.0,ACCESSOIRE,OOREDOO_CENTRAL,2,1,100,0.2,50.0,growth,0.0,0,10,100
5030260,NOKIA 2600,Accessoire,30,R,,False,280.53,100.0,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,50,0.2,50.0,growth,0.0,0,10,100
5030265,NOKIA 2650,Accessoire,30,R,,False,280.53,133.613,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,50,0.2,50.0,growth,0.0,0,10,100
5030323,NOKIA 3230,Accessoire,30,R,,False,280.53,410.924,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,20,0.2,50.0,growth,0.0,0,10,100
5030602,NOKIA 6020,Accessoire,30,R,,False,280.53,109.244,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,50,0.2,50.0,growth,0.0,0,10,100
5030623,NOKIA 6230,Accessoire,30,R,,False,280.53,377.311,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,20,0.2,50.0,growth,0.0,0,10,100
5030663,NOKIA 6630,Accessoire,30,R,,False,280.53,373.95,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,20,0.2,50.0,growth,0.0,0,10,100
5030667,NOKIA 6670,Accessoire,30,R,,False,280.53,402.521,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,20,0.2,50.0,growth,0.0,0,10,100
5030727,NOKIA 7270,Accessoire,30,R,,False,280.53,360.504,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,20,0.2,50.0,growth,0.0,0,10,100
5030728,NOKIA 7280,Accessoire,30,R,,False,280.53,587.395,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,20,0.2,50.0,growth,0.0,0,10,100
5030771,NOKIA 7710,Accessoire,30,R,,False,280.53,612.605,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,20,0.2,50.0,growth,0.0,0,10,100
5030660,NOKIA 6600,Accessoire,30,R,,False,280.53,222.689,Nokia,False,False,45.0,ACCESSOIRE,NOKIA_HMD,10,2,20,0.2,50.0,growth,0.0,0,10,100
5020500,SAMSUNG D500,Accessoire,20,R,,False,995.024,352.101,Samsung,False,False,45.0,ACCESSOIRE,SAMSUNG_LEVANT,14,3,20,0.2,50.0,growth,0.0,0,10,100
