store_id,store_name,ville,store_type,is_active,responsable,email,region,channel,is_official
I08,Boutique KSAR HLEL,SOUSSE,standard,True,,,Sahel,PHYSIQUE,False
M21,Boutique CARREFOUR,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,True
I24,Boutique HAMMAM LIF,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I03,Boutique ENNASR,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
M19,Boutique AEROPORT MONASTIR,MONASTIR,standard,True,,,Sahel,PHYSIQUE,True
M20,Boutique KASSERINE,KASSERINE,standard,True,,,Centre,PHYSIQUE,True
M22,Boutique SILIANA,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,True
I19,Boutique LE KEF,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I20,Boutique SOUSSE ERRIADH,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
C01,Boutique CHARGUIA,CHARGUIA 1,standard,True,Ben Ghorbel Ahmed,,Autre,B2B,False
M01,Boutique ZEPHYR,LA MARSA,standard,True,Ben Amor Hichem,asma.lachaal@ooredoo.tn,Grand Tunis,PHYSIQUE,True
M02,Boutique MEDINA PALACE,TUNIS,standard,True,Jami Zeinab,,Grand Tunis,PHYSIQUE,True
M03,Boutique SFAX I,SFAX,standard,True,Chiha Moez,,Sud,PHYSIQUE,True
M04,Boutique SOUSSE,SOUSSE,standard,True,Ben Ameur Lamia,,Sahel,PHYSIQUE,True
G01,CENTRE CORPORATE,LA CHARGUIA,standard,True,,,Autre,PHYSIQUE,False
R01,CENTRE RECOUVREMENT,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
M18,Boutique LAC,TUNIS,standard,True,,asma.lachaal@ooredoo.tn,Grand Tunis,PHYSIQUE,True
S01,Boutique ZARZIS,ZARZIS,standard,True,,,Autre,PHYSIQUE,False
M16,Boutique MAHDIA,MAHDIA,standard,True,,,Sahel,PHYSIQUE,True
M17,Boutique MONASTIR,MONASTIR,standard,True,,,Sahel,PHYSIQUE,True
I01,Boutique HAMMAMET,HAMMAMET,standard,True,,,Cap Bon,PHYSIQUE,False
M05,Boutique BARDO,TUNIS,standard,True,ZYDOUNE,,Grand Tunis,PHYSIQUE,True
M06,Boutique NABEUL,NABEUL,standard,True,,,Cap Bon,PHYSIQUE,True
M07,Boutique BIZERTE,BIZERTE,standard,True,,,Nord,PHYSIQUE,True
M08,Boutique ARIANA,ARIANA,standard,True,,,Grand Tunis,PHYSIQUE,True
M09,Boutique EZZAHRA,EZZAHRA,standard,True,,,Autre,PHYSIQUE,True
M10,Boutique AEROPORT,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,True
M13,Boutique GABES,GABES,standard,True,,,Sud,PHYSIQUE,True
M14,Boutique SFAX II,SFAX,standard,True,,,Sud,PHYSIQUE,True
M15,Boutique BEJA,BEJA,standard,True,,,Nord,PHYSIQUE,True
M11,Boutique KAIROUAN,KAIROUAN,standard,True,,,Centre,PHYSIQUE,True
M12,Boutique GAFSA,GAFSA,standard,True,,,Sud-Ouest,PHYSIQUE,True
I07,Boutique LE KRAM,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I04,Boutique MSAKEN,SOUSSE,standard,True,,,Sahel,PHYSIQUE,False
I10,Boutique SOUSSE KHEZAMA,SOUSSE,standard,True,,,Sahel,PHYSIQUE,False
I09,Boutique KELIBIA,KELIBIA,standard,True,,,Autre,PHYSIQUE,False
I11,Boutique MEDENINE,MEDENINE,standard,True,,,Sud,PHYSIQUE,False
T01,SHOP MOBILE 1,MOBILE,standard,True,,,Autre,ONLINE,False
I21,Boutique MANNOUBA,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I23,Boutique TOZEUR,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I02,Boutique EL MOUROUJ,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I05,Boutique SFAX 5 AOUT,SFAX,standard,True,,,Sud,PHYSIQUE,False
I06,Boutique ETTADHAMEN,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I12,Boutique KEBILI,KEBILI,standard,True,,,Sud-Ouest,PHYSIQUE,False
I13,Boutique MENZAH 6,MENZAH 6,standard,True,,,Autre,PHYSIQUE,False
I14,Boutique JENDOUBA,JENDOUBA,standard,True,,,Nord,PHYSIQUE,False
I15,Boutique AL JAZIRA,AL JAZIRA,standard,True,,,Autre,PHYSIQUE,False
I16,Boutique JERBA,JERBA,standard,True,,,Autre,PHYSIQUE,False
I17,Boutique MEGRINE,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I18,Boutique ZAHROUNI,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I22,Boutique LAFAYETTE,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I25,Boutique MENZEL BOURGUIBA,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
M23,Boutique HABIB BOURGUIBA,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,True
I26,Boutique FR GABES,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I32,Boutique OUED ELLIL,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I33,Boutique SIDI BOUZID,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
M24,Boutique AEROPORT JERBA,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,True
I31,Boutique CITE EL HABIB SFAX,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I39,Boutique FR NABEUL,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I40,Boutique EZZOUHOUR,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I41,Boutique GAMMARTH,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I42,Boutique FR SILIANA,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I44,Boutique ENNASR 2,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I27,Boutique SIDI HASSINE,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I28,Boutique TATAOUINE,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I29,Boutique ZAGHOUAN,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I30,Boutique SAKIET EDDAYER,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I34,Boutique URBAIN NORD,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I36,Boutique FR LAC,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I37,Boutique EL GHAZELA,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I38,Boutique GEANT,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I45,Boutique AOUINA,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
M26,Boutique VAD,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,True
M25,Boutique AEROPORT ENFIDHA,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,True
I43,Boutique FR KASSERINE,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I46,Boutique GREMDA PALACE,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
I52,Boutique EL YASMINETTE-BEN AROUS,TUNIS,standard,True,,,Grand Tunis,PHYSIQUE,False
