direction,operateur_origine,operateur_destination,mois,volume,categorie_client,raison_principale,wilaya
PORT_IN,TT,OOREDOO,2024-10-01,1245,RESI,PRIX,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2024-10-01,387,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2024-10-01,612,RESI,COUVERTURE,Sahel
PORT_IN,TT,OOREDOO,2024-10-01,298,RESI,SERVICE_CLIENT,Centre
PORT_OUT,OOREDOO,TT,2024-10-01,543,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2024-10-01,289,RESI,QUALITE_RESEAU,Grand Tunis
PORT_OUT,OOREDOO,TT,2024-10-01,198,RESI,PRIX,Sahel
PORT_IN,TT,OOREDOO,2024-11-01,1389,RESI,PRIX,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2024-11-01,421,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2024-11-01,698,RESI,COUVERTURE,Sahel
PORT_OUT,OOREDOO,TT,2024-11-01,601,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2024-11-01,315,RESI,RESEAU,Grand Tunis
PORT_IN,TT,OOREDOO,2024-12-01,1856,RESI,PROMO_FIN_ANNEE,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2024-12-01,512,RESI,PROMO_FIN_ANNEE,Grand Tunis
PORT_IN,TT,OOREDOO,2024-12-01,987,RESI,COUVERTURE,Sahel
PORT_OUT,OOREDOO,TT,2024-12-01,478,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2024-12-01,256,RESI,PROMO_CONCURRENT,Grand Tunis
PORT_IN,TT,OOREDOO,2025-01-01,1120,RESI,PRIX,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-01-01,356,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-01-01,512,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2025-01-01,287,RESI,SERVICE_CLIENT,Grand Tunis
PORT_IN,TT,OOREDOO,2025-02-01,1234,RESI,PRE_RAMADAN,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-02-01,398,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-02-01,445,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2025-03-01,2145,RESI,RAMADAN,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-03-01,687,RESI,RAMADAN,Grand Tunis
PORT_IN,TT,OOREDOO,2025-03-01,1023,RESI,RAMADAN,Sahel
PORT_OUT,OOREDOO,TT,2025-03-01,389,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2025-04-01,3456,RESI,EID_FITR,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-04-01,1123,RESI,EID_FITR,Grand Tunis
PORT_IN,TT,OOREDOO,2025-04-01,1789,RESI,EID_FITR,Sahel
PORT_OUT,OOREDOO,TT,2025-04-01,234,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2025-04-01,156,RESI,PROMO_CONCURRENT,Grand Tunis
PORT_IN,TT,OOREDOO,2025-05-01,1456,RESI,POST_EID,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-05-01,456,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-05-01,398,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2025-06-01,1678,RESI,EID_ADHA,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-06-01,523,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-06-01,423,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2025-07-01,1890,RESI,LANCEMENT_5G,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-07-01,634,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2025-07-01,345,RESI,PROMO_ORANGE,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-07-01,387,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2025-08-01,1654,RESI,ETE,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-08-01,512,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2025-08-01,412,RESI,PROMO_ORANGE,Grand Tunis
PORT_IN,TT,OOREDOO,2025-09-01,2134,RESI,RENTREE,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-09-01,678,RESI,RENTREE,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-09-01,312,RESI,PROMO_TT_RENTREE,Grand Tunis
PORT_IN,TT,OOREDOO,2025-10-01,1345,RESI,PRIX,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-10-01,423,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-10-01,289,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2025-11-01,1567,RESI,BLACK_FRIDAY,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-11-01,487,RESI,BLACK_FRIDAY,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2025-11-01,312,RESI,PROMO_ORANGE_BF,Grand Tunis
PORT_IN,TT,OOREDOO,2025-12-01,2345,RESI,SOLDES,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2025-12-01,756,RESI,SOLDES,Grand Tunis
PORT_OUT,OOREDOO,TT,2025-12-01,356,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2026-01-01,1456,RESI,PRIX,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2026-01-01,467,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,TT,2026-01-01,423,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2026-02-01,1789,RESI,PRE_RAMADAN,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2026-02-01,567,RESI,PRE_RAMADAN,Grand Tunis
PORT_OUT,OOREDOO,TT,2026-02-01,312,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2026-03-01,3123,RESI,RAMADAN_EID,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2026-03-01,987,RESI,RAMADAN_EID,Grand Tunis
PORT_OUT,OOREDOO,TT,2026-03-01,278,RESI,PRIX,Grand Tunis
