promo_id,promo_name,start_date,end_date,sku,product_name,category,discount_pct,promo_type,scope
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,RCH-MOB-010,Mobile Recharge 10DT,Recharges,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,RCH-MOB-020,Mobile Recharge 20DT,Recharges,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,RCH-INT-050,Internet Package 50GB,Recharges,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,RCH-STR-001,Monthly Streaming Subscription,Recharges,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,PHN-SAM-S24,Samsung Galaxy S24,Smartphones,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,PHN-IPH-15,iPhone 15,Smartphones,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,PHN-XIA-13,Xiaomi 13 Pro,Smartphones,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,PHN-OPP-F5,Oppo Find X5,Smartphones,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,PHN-BUD-001,Budget Phone 4G,Smartphones,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,TAB-IPD-AIR,iPad Air,Tablets,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,TAB-SAM-S9,Samsung Tab S9,Tablets,25,religious,national
PROMO-0001,Ramadan 2024,2024-03-11,2024-04-09,TAB-LEN-P11,Lenovo Tab P11,Tablets,25,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,PHN-SAM-S24,Samsung Galaxy S24,Smartphones,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,PHN-IPH-15,iPhone 15,Smartphones,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,PHN-XIA-13,Xiaomi 13 Pro,Smartphones,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,PHN-OPP-F5,Oppo Find X5,Smartphones,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,PHN-BUD-001,Budget Phone 4G,Smartphones,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,TAB-IPD-AIR,iPad Air,Tablets,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,TAB-SAM-S9,Samsung Tab S9,Tablets,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,TAB-LEN-P11,Lenovo Tab P11,Tablets,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,ACC-CAM-001,Outdoor Security Camera,Accessories,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,ACC-BUD-001,Wireless Earbuds Pro,Accessories,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,ACC-BUD-002,Wireless Earbuds Basic,Accessories,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,ACC-WAT-001,Smartwatch Pro,Accessories,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,ACC-WAT-002,Smartwatch Fitness,Accessories,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,ACC-CHG-001,Fast Charger 65W,Accessories,30,religious,national
PROMO-0002,Eid Al-Fitr 2024,2024-04-10,2024-04-12,ACC-CAS-001,Phone Case Premium,Accessories,30,religious,national
PROMO-0003,5G Launch Campaign,2024-05-01,2024-06-30,RTR-4G-001,4G Home Router Basic,Routers,20,tech,national
