date,store_id,store_name,region,sku,product_name,category,quantity_sold,revenue,unit_price,is_promo,event_name,event_type,season
2024-03-01,STORE-001,1,North,ACC-BUD-001,Wireless Earbuds Pro,Accessories,24,2136.0,89,0,,,Spring
2024-03-01,STORE-001,1,North,ACC-BUD-002,Wireless Earbuds Basic,Accessories,16,624.0,39,0,,,Spring
2024-03-01,STORE-001,1,North,ACC-CAM-001,Outdoor Security Camera,Accessories,19,2451.0,129,0,,,Spring
2024-03-01,STORE-001,1,North,ACC-CAS-001,Phone Case Premium,Accessories,22,418.0,19,0,,,Spring
2024-03-01,STORE-001,1,North,ACC-CHG-001,Fast Charger 65W,Accessories,17,493.0,29,0,,,Spring
2024-03-01,STORE-001,1,North,ACC-WAT-001,Smartwatch Pro,Accessories,13,3237.0,249,0,,,Spring
2024-03-01,STORE-001,1,North,ACC-WAT-002,Smartwatch Fitness,Accessories,22,2178.0,99,0,,,Spring
2024-03-01,STORE-001,1,North,FBR-BOX-001,Fiber Box Standard,Fiber Boxes,17,1343.0,79,0,,,Spring
2024-03-01,STORE-001,1,North,FBR-BOX-002,Fiber Box WiFi 6,Fiber Boxes,14,2086.0,149,0,,,Spring
2024-03-01,STORE-001,1,North,FBR-BOX-003,Fiber Box Gaming,Fiber Boxes,12,2388.0,199,0,,,Spring
2024-03-01,STORE-001,1,North,PHN-BUD-001,Budget Phone 4G,Smartphones,4,596.0,149,0,,,Spring
2024-03-01,STORE-001,1,North,PHN-IPH-15,iPhone 15,Smartphones,8,7992.0,999,0,,,Spring
2024-03-01,STORE-001,1,North,PHN-OPP-F5,Oppo Find X5,Smartphones,6,2994.0,499,0,,,Spring
2024-03-01,STORE-001,1,North,PHN-SAM-S24,Samsung Galaxy S24,Smartphones,6,5394.0,899,0,,,Spring
2024-03-01,STORE-001,1,North,PHN-XIA-13,Xiaomi 13 Pro,Smartphones,8,4792.0,599,0,,,Spring
2024-03-01,STORE-001,1,North,RCH-INT-050,Internet Package 50GB,Recharges,212,5300.0,25,0,,,Spring
2024-03-01,STORE-001,1,North,RCH-MOB-010,Mobile Recharge 10DT,Recharges,131,1310.0,10,0,,,Spring
2024-03-01,STORE-001,1,North,RCH-MOB-020,Mobile Recharge 20DT,Recharges,182,3640.0,20,0,,,Spring
2024-03-01,STORE-001,1,North,RCH-STR-001,Monthly Streaming Subscription,Recharges,200,2400.0,12,0,,,Spring
2024-03-01,STORE-001,1,North,RTR-4G-001,4G Home Router Basic,Routers,9,801.0,89,0,,,Spring
2024-03-01,STORE-001,1,North,RTR-4G-002,4G Router Pro,Routers,12,1548.0,129,0,,,Spring
2024-03-01,STORE-001,1,North,RTR-5G-001,5G Router Premium,Routers,6,1794.0,299,0,,,Spring
2024-03-01,STORE-001,1,North,RTR-5G-002,5G Router Enterprise,Routers,26,11674.0,449,1,,,Spring
