date,store_id,store_name,region,sku,product_name,category,stock_level,is_stockout
2024-03-01,STORE-001,1,North,ACC-BUD-001,Wireless Earbuds Pro,Accessories,426,0
2024-03-01,STORE-001,1,North,ACC-BUD-002,Wireless Earbuds Basic,Accessories,434,0
2024-03-01,STORE-001,1,North,ACC-CAM-001,Outdoor Security Camera,Accessories,431,0
2024-03-01,STORE-001,1,North,ACC-CAS-001,Phone Case Premium,Accessories,428,0
2024-03-01,STORE-001,1,North,ACC-CHG-001,Fast Charger 65W,Accessories,433,0
2024-03-01,STORE-001,1,North,ACC-WAT-001,Smartwatch Pro,Accessories,437,0
2024-03-01,STORE-001,1,North,ACC-WAT-002,Smartwatch Fitness,Accessories,428,0
2024-03-01,STORE-001,1,North,FBR-BOX-001,Fiber Box Standard,Fiber Boxes,343,0
2024-03-01,STORE-001,1,North,FBR-BOX-002,Fiber Box WiFi 6,Fiber Boxes,346,0
2024-03-01,STORE-001,1,North,FBR-BOX-003,Fiber Box Gaming,Fiber Boxes,348,0
2024-03-01,STORE-001,1,North,PHN-BUD-001,Budget Phone 4G,Smartphones,146,0
2024-03-01,STORE-001,1,North,PHN-IPH-15,iPhone 15,Smartphones,292,0
2024-03-01,STORE-001,1,North,PHN-OPP-F5,Oppo Find X5,Smartphones,144,0
2024-03-01,STORE-001,1,North,PHN-SAM-S24,Samsung Galaxy S24,Smartphones,144,0
2024-03-01,STORE-001,1,North,PHN-XIA-13,Xiaomi 13 Pro,Smartphones,142,0
2024-03-01,STORE-001,1,North,RCH-INT-050,Internet Package 50GB,Recharges,4288,0
2024-03-01,STORE-001,1,North,RCH-MOB-010,Mobile Recharge 10DT,Recharges,4369,0
2024-03-01,STORE-001,1,North,RCH-MOB-020,Mobile Recharge 20DT,Recharges,4318,0
2024-03-01,STORE-001,1,North,RCH-STR-001,Monthly Streaming Subscription,Recharges,4300,0
2024-03-01,STORE-001,1,North,RTR-4G-001,4G Home Router Basic,Routers,231,0
2024-03-01,STORE-001,1,North,RTR-4G-002,4G Router Pro,Routers,228,0
2024-03-01,STORE-001,1,North,RTR-5G-001,5G Router Premium,Routers,234,0
2024-03-01,STORE-001,1,North,RTR-5G-002,5G Router Enterprise,Routers,214,0
2024-03-01,STORE-001,1,North,SIM-ESIM-001,eSIM Activation Kit,SIM Cards,726,0
2024-03-01,STORE-001,1,North,SIM-HOLI-001,Holiday SIM 10GB,SIM Cards,730,0
2024-03-01,STORE-001,1,North,SIM-POST-001,Postpaid SIM Premium,SIM Cards,702,0
2024-03-01,STORE-001,1,North,SIM-PREP-001,Prepaid SIM Starter,SIM Cards,730,0
2024-03-01,STORE-001,1,North,TAB-IPD-AIR,iPad Air,Tablets,87,0
2024-03-01,STORE-001,1,North,TAB-LEN-P11,Lenovo Tab P11,Tablets,88,0
2024-03-01,STORE-001,1,North,TAB-SAM-S9,Samsung Tab S9,Tablets,89,0
2024-03-01,STORE-002,2,North,ACC-BUD-001,Wireless Earbuds Pro,Accessories,411,0
2024-03-01,STORE-002,2,North,ACC-BUD-002,Wireless Earbuds Basic,Accessories,431,0
2024-03-01,STORE-002,2,North,ACC-CAM-001,Outdoor Security Camera,Accessories,429,0
2024-03-01,STORE-002,2,North,ACC-CAS-001,Phone Case Premium,Accessories,431,0
2024-03-01,STORE-002,2,North,ACC-CHG-001,Fast Charger 65W,Accessories,429,0
2024-03-01,STORE-002,2,North,ACC-WAT-001,Smartwatch Pro,Accessories,436,0
2024-03-01,STORE-002,2,North,ACC-WAT-002,Smartwatch Fitness,Accessories,439,0
2024-03-01,STORE-002,2,North,FBR-BOX-001,Fiber Box Standard,Fiber Boxes,344,0
2024-03-01,STORE-002,2,North,FBR-BOX-002,Fiber Box WiFi 6,Fiber Boxes,344,0
2024-03-01,STORE-002,2,North,FBR-BOX-003,Fiber Box Gaming,Fiber Boxes,345,0
2024-03-01,STORE-002,2,North,PHN-BUD-001,Budget Phone 4G,Smartphones,145,0
2024-03-01,STORE-002,2,North,PHN-IPH-15,iPhone 15,Smartphones,293,0
2024-03-01,STORE-002,2,North,PHN-OPP-F5,Oppo Find X5,Smartphones,145,0
2024-03-01,STORE-002,2,North,PHN-SAM-S24,Samsung Galaxy S24,Smartphones,144,0
2024-03-01,STORE-002,2,North,PHN-XIA-13,Xiaomi 13 Pro,Smartphones,140,0
2024-03-01,STORE-002,2,North,RCH-INT-050,Internet Package 50GB,Recharges,4307,0
2024-03-01,STORE-002,2,North,RCH-MOB-010,Mobile Recharge 10DT,Recharges,4298,0
2024-03-01,STORE-002,2,North,RCH-MOB-020,Mobile Recharge 20DT,Recharges,4306,0
2024-03-01,STORE-002,2,North,RCH-STR-001,Monthly Streaming Subscription,Recharges,4293,0
2024-03-01,STORE-002,2,North,RTR-4G-001,4G Home Router Basic,Routers,226,0
2024-03-01,STORE-002,2,North,RTR-4G-002,4G Router Pro,Routers,230,0
2024-03-01,STORE-002,2,North,RTR-5G-001,5G Router Premium,Routers,229,0
2024-03-01,STORE-002,2,North,RTR-5G-002,5G Router Enterprise,Routers,236,0
2024-03-01,STORE-002,2,North,SIM-ESIM-001,eSIM Activation Kit,SIM Cards,717,0
2024-03-01,STORE-002,2,North,SIM-HOLI-001,Holiday SIM 10GB,SIM Cards,725,0
2024-03-01,STORE-002,2,North,SIM-POST-001,Postpaid SIM Premium,SIM Cards,714,0
2024-03-01,STORE-002,2,North,SIM-PREP-001,Prepaid SIM Starter,SIM Cards,720,0
2024-03-01,STORE-002,2,North,TAB-IPD-AIR,iPad Air,Tablets,88,0
2024-03-01,STORE-002,2,North,TAB-LEN-P11,Lenovo Tab P11,Tablets,87,0
2024-03-01,STORE-002,2,North,TAB-SAM-S9,Samsung Tab S9,Tablets,87,0
2024-03-01,STORE-003,3,North,ACC-BUD-001,Wireless Earbuds Pro,Accessories,429,0
2024-03-01,STORE-003,3,North,ACC-BUD-002,Wireless Earbuds Basic,Accessories,434,0
2024-03-01,STORE-003,3,North,ACC-CAM-001,Outdoor Security Camera,Accessories,433,0
2024-03-01,STORE-003,3,North,ACC-CAS-001,Phone Case Premium,Accessories,427,0
2024-03-01,STORE-003,3,North,ACC-CHG-001,Fast Charger 65W,Accessories,433,0
2024-03-01,STORE-003,3,North,ACC-WAT-001,Smartwatch Pro,Accessories,438,0
2024-03-01,STORE-003,3,North,ACC-WAT-002,Smartwatch Fitness,Accessories,431,0
2024-03-01,STORE-003,3,North,FBR-BOX-001,Fiber Box Standard,Fiber Boxes,341,0
2024-03-01,STORE-003,3,North,FBR-BOX-002,Fiber Box WiFi 6,Fiber Boxes,346,0
2024-03-01,STORE-003,3,North,FBR-BOX-003,Fiber Box Gaming,Fiber Boxes,349,0
2024-03-01,STORE-003,3,North,PHN-BUD-001,Budget Phone 4G,Smartphones,142,0
2024-03-01,STORE-003,3,North,PHN-IPH-15,iPhone 15,Smartphones,147,0
2024-03-01,STORE-003,3,North,PHN-OPP-F5,Oppo Find X5,Smartphones,143,0
2024-03-01,STORE-003,3,North,PHN-SAM-S24,Samsung Galaxy S24,Smartphones,143,0
2024-03-01,STORE-003,3,North,PHN-XIA-13,Xiaomi 13 Pro,Smartphones,143,0
2024-03-01,STORE-003,3,North,RCH-INT-050,Internet Package 50GB,Recharges,4275,0
2024-03-01,STORE-003,3,North,RCH-MOB-010,Mobile Recharge 10DT,Recharges,4324,0
2024-03-01,STORE-003,3,North,RCH-MOB-020,Mobile Recharge 20DT,Recharges,4359,0
2024-03-01,STORE-003,3,North,RCH-STR-001,Monthly Streaming Subscription,Recharges,4345,0
2024-03-01,STORE-003,3,North,RTR-4G-001,4G Home Router Basic,Routers,232,0
2024-03-01,STORE-003,3,North,RTR-4G-002,4G Router Pro,Routers,232,0
2024-03-01,STORE-003,3,North,RTR-5G-001,5G Router Premium,Routers,231,0
2024-03-01,STORE-003,3,North,RTR-5G-002,5G Router Enterprise,Routers,230,0
2024-03-01,STORE-003,3,North,SIM-ESIM-001,eSIM Activation Kit,SIM Cards,704,0
2024-03-01,STORE-003,3,North,SIM-HOLI-001,Holiday SIM 10GB,SIM Cards,714,0
2024-03-01,STORE-003,3,North,SIM-POST-001,Postpaid SIM Premium,SIM Cards,726,0
2024-03-01,STORE-003,3,North,SIM-PREP-001,Prepaid SIM Starter,SIM Cards,723,0
2024-03-01,STORE-003,3,North,TAB-IPD-AIR,iPad Air,Tablets,176,0
2024-03-01,STORE-003,3,North,TAB-LEN-P11,Lenovo Tab P11,Tablets,87,0
2024-03-01,STORE-003,3,North,TAB-SAM-S9,Samsung Tab S9,Tablets,85,0
2024-03-01,STORE-004,4,North,ACC-BUD-001,Wireless Earbuds Pro,Accessories,430,0
2024-03-01,STORE-004,4,North,ACC-BUD-002,Wireless Earbuds Basic,Accessories,435,0
2024-03-01,STORE-004,4,North,ACC-CAM-001,Outdoor Security Camera,Accessories,431,0
2024-03-01,STORE-004,4,North,ACC-CAS-001,Phone Case Premium,Accessories,428,0
