COD_PROD;DES_PROD;COD_GROUP;COD_FAM;COD_SFAM;COMPOSER;PA_HT;PA_TTC;VAL_MARGE;TX_MARGE;PV_HT;TX_TVA;MNT_TVA;PV_TTC;SITUATION;QTE_MIN;QTE_MAX;VENDABLE;LIVRABLE;TYPE_PROD;VALORISABLE;LIB_FACT;REDEVANCE;TX_REMISE;NUM_COMPT;NUM_COMPT_REM;SERIALISABLE;DEPOT_VENTE;FICHE_VENTE;ID_CLIENT;NUM_APPEL;DAT_MAJ;COD_USER;VALORISATION;TX_TIMBRE_RECHARGE;FLAG_LP;INTERNE;DES_WEB;FLAG_ESHOP;LP_CORPO;PV_HT_ESHOP;FLAG_3G;ACTIF;GAMME;GAMME_DASH_ID;FAMILLE_DASH_ID;FLAG_4G;OUTLET;FLAG_AFFICHER_RESERV;DAT_OUTLET;ORDRE;INFO_TIMBRE;FLAG_5G;EOL
5040320;ALCATEL 320;50;40;320;N;;;;;58;19;11;69;N;;;O;O;R;O;ALCATEL 320;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:51;3435;;0;N;N;;N;N;58;N;N;11;;;N;N;;12/19/2018 00:00:00;;;;N
5060200;MOTOROLA 200;50;60;200;N;;;;;66;19;12;78;N;;;O;O;R;O;MOTOROLA 200;0;0;4722121110;4719000;O;N;O;;O;02/18/2026 11:30:51;3435;;0;N;N;;N;N;66;N;N;11;;;N;N;;12/18/2018 00:00:00;;;;N
3005000;.;30;05;000;N;;;;;4;19;1;5;;;;O;O;R;O;.;0;0;4722121110;4719000;O;N;N;;;02/18/2026 11:30:51;0551;;0;N;N;;O;N;;N;O;9;20;10;;N;;;;;;N
2020005;.;20;20;005;O;;;;;0;0;0;2;;;;O;O;R;O;.;0;0;472121110;4719000;O;N;O;;;02/18/2026 11:30:51;0551;;0;N;N;;N;N;;N;O;;;;;N;;;;;;N
2020206;.;20;20;206;O;;;;;0;0;0;10;;;;O;O;R;O;.;0;0;472121110;4719000;O;N;O;;;02/18/2026 11:30:51;0551;;0;N;N;;N;N;;N;O;;14;9;;N;;;;;;N
9910006;.;99;10;006;N;;;;;5;19;1;6;;;;N;N;R;O;.;0;0;4721611110;4719000;O;N;N;;;02/18/2026 11:30:51;0551;;0;N;N;;N;N;;N;O;5;;;;N;;;;;;N
8811044;.;88;11;044;N;;;;;4;19;1;5;;;;O;N;R;O;.;0;0;70521089900;4719000;N;N;N;;O;02/18/2026 11:30:52;0551;F;0;N;N;;N;N;;N;O;;4;3;;N;;;31;N;;N
5030230;NOKIA 2300;50;30;230;N;;;;;92;19;17;109;N;;;O;O;R;O;NOKIA 2300;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:00;1269;;0;N;N;;N;N;92;N;N;11;;;;N;;;;;;N
4000022;.;40;00;022;O;;;;;0;0;0;50;;;;O;O;R;O;.;0;;;;O;N;N;;;02/18/2026 11:30:52;0551;;0;N;N;;N;N;;N;O;7;;;;N;;;;;;N
9940001;.;99;40;001;N;;;;;21;19;4;25;;;;N;N;R;O;.;0;;4721611110;4719000;O;N;;;;02/18/2026 11:30:52;0551;;0;N;N;;N;N;;N;O;;;;;N;;;;;;N
4000021;.;40;00;021;O;;;;;0;0;0;50;;;;O;O;R;O;.;0;;;;O;N;N;;;02/18/2026 11:30:52;0551;;0;N;N;;N;N;;N;O;7;;;;N;;;;;;N
5030260;NOKIA 2600;50;30;260;N;;;;;100;19;19;119;N;;;O;O;R;O;NOKIA 2600;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:00;1269;;0;N;N;;N;N;101;N;N;11;;;;O;;;;;;N
5030265;NOKIA 2650;50;30;265;N;;;;;134;19;25;159;N;;;O;O;R;O;NOKIA 2650;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:00;1269;;0;N;N;;N;N;135;N;N;11;;;;N;;;;;;N
5030323;NOKIA 3230;50;30;323;N;;;;;411;19;78;489;N;;;O;O;R;O;NOKIA 3230;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:00;1269;;0;N;N;;N;N;414;N;N;11;;;;N;;;;;;N
