COD_SOC;CD_DIST;COD_EXE;COD_PROD;QTE_STK;QTE_INV;QTE_DEB_EXE;QTE_RES;QTE_VTE;DAT_MAJ;MACHINE;COD_USER;OS_USER
1;I16;25;5015401;0;0;0;0;0;12/31/2024 12:35:52;;0551;
1;I16;25;5015402;0;0;0;0;0;12/31/2024 12:35:52;;0551;
1;I16;25;5015500;0;0;0;;0;12/31/2024 12:35:52;;0551;
1;C01;25;7050009;5;5;5;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7050011;4;4;4;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7050014;0;0;0;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7050015;5;5;5;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7050016;10;10;10;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7050018;2;2;2;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7050019;5;5;5;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7050021;4;4;4;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7050022;4;4;4;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7050023;4;4;4;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7070001;6;6;6;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7070002;10;10;10;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7070003;4;4;4;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7070004;10;10;10;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7070006;7;7;7;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7070007;0;0;0;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7070008;0;0;0;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7070009;36;36;36;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7070010;0;0;0;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7090013;0;0;0;0;0;12/31/2024 12:35:52;;0551;
1;C01;25;7090016;0;0;0;0;0;12/31/2024 12:35:52;;0551;
